Year,Graduation Rate,Birth Rate
2022,91.8,13.6
2021,91.6,13.9
2020,91.3,15.0
2019,90.5,16.7
2018,90.2,17.4
2017,90.0,18.8
2016,89.6,20.3
2015,88.8,22.3
2014,88.9,24.2
2013,88.6,26.5
2012,88.0,29.4
2011,88.0,31.3
2010,87.6,34.2
2009,87.1,37.9
2008,87.2,40.2
2007,86.4,41.5
2006,85.9,41.1
2005,85.5,39.7
2004,85.4,40.5
2003,85.0,41.1
2002,84.4,42.6
2001,84.2,45.0
2000,84.0,47.7
1999,83.4,49.6
1998,82.9,51.1
1997,82.2,52.3
1996,81.6,54.4
1995,81.6,56.8
1994,80.7,58.9
1993,80.0,59.6
1992,79.2,60.7
1991,78.3,62.1
1990,77.5,59.9
1989,,57.3
1988,,53.0
1987,,50.6
1986,,50.2
1985,73.5,51.0
1984,,50.6
1983,,51.4
1982,,52.4
1981,,52.2
1980,65.8,53.0
